Objekt-ID;Art;Geo Point;Bohr-ID;Kanton;Gemeinde bzw. Sektion;Klassifikation;Laufnummer;Laufnummer-Erweiterung;Vollständige Laufnummer;Schrägbohrung (0/1);Bohrjahr;Strasse;Hausummer;Bohransatz-Kote;Oberkante Fels-Kote;Oberkante Fels-Stratigraphie;Sohle-Kote;Kassierdatum einer Bohrung;Im hydrografischen Jahrbuch;ID: Zustand einer Messstelle;Text: Zustand der Bohrung;chemische Untersuchung (ja/nein);Chemische Analyse;Intervall der chemischen Analyse;Terrain-Kote;Geplant (0/1);Rohrdurchmesser;Z-Koordinate vom Top;Z-Koordinate von der Basis;Grundwasserdaten;Flurabstand;Grundwasserspiegel;Datum des Grundwasserstandes;Format des Datums;Datum des Grundwasserstandes;Geo Shape;X-Koordinate;Y-Koordinate;Bohrprofil-Dokument;Situationsplan-Dokument;Bild zur Bohrung
1632;Sondierbohrung;47.571409231170435,7.5727126745700755;8943;BS;1;R;3813;;3813;0;1998;Saint-Louis-Strasse;;260.07;236.75;Meletta-Schichten;235.75;;0;;-;0;;;260.07;0;;;;0;;;;;;"{""coordinates"": [7.572712674570075, 47.571409231170435], ""type"": ""Point""}";2610090;1268976;;;
1641;Sondierbohrung;47.57116602016829,7.573044305509145;8946;BS;1;R;3816;;3816;0;1998;Voltastr.;;259.85;236.7;Meletta-Schichten;235.6;;0;;-;0;;;259.85;0;;;;0;;;;;;"{""coordinates"": [7.573044305509145, 47.57116602016829], ""type"": ""Point""}";2610115;1268949;;;
1647;Sondierbohrung;47.57116784339258,7.5730230466594195;8948;BS;1;R;3818;;3818;0;1997;Saint-Louis-Strasse;;259.85;236.7;Meletta-Schichten;235.6;;0;;-;0;;;259.85;0;;;;0;;;;;;"{""coordinates"": [7.573023046659419, 47.57116784339258], ""type"": ""Point""}";2610113;1268949;;;
1665;Sondierbohrung;47.57144455210053,7.572498798757147;9225;BS;1;R;3841;;3841;0;1998;Saint-Louis-Strasse;;260.15;237.1;Meletta-Schichten;235.6;;0;;-;0;;;260.15;0;;;;0;;;;;;"{""coordinates"": [7.572498798757147, 47.57144455210053], ""type"": ""Point""}";2610074;1268980;;;
1668;Sondierbohrung;47.57143286034655,7.5724987694687975;9226;BS;1;R;3842;;3842;0;1998;Saint-Louis-Strasse;;260.15;236.7;Meletta-Schichten;235.7;;0;;-;0;;;260.15;0;;;;0;;;;;;"{""coordinates"": [7.572498769468798, 47.57143286034655], ""type"": ""Point""}";2610074;1268978;;;
1686;Sondierbohrung;47.571411289291206,7.5724867546950705;9232;BS;1;R;3848;;3848;0;1998;Saint-Louis-Strasse;;260.2;236.35;Meletta-Schichten;235.35;;0;;-;0;;;260.2;0;;;;0;;;;;;"{""coordinates"": [7.57248675469507, 47.571411289291206], ""type"": ""Point""}";2610073;1268976;;;
1689;Sondierbohrung;47.571410409742995,7.572469475871669;9233;BS;1;R;3849;;3849;0;1998;Saint-Louis-Strasse;;260.25;236.4;Meletta-Schichten;235.4;;0;;-;0;;;260.25;0;;;;0;;;;;;"{""coordinates"": [7.572469475871669, 47.571410409742995], ""type"": ""Point""}";2610072;1268976;;;
1695;Sondierbohrung;47.57141133959216,7.572442898784175;9235;BS;1;R;3851;;3851;0;1998;Saint-Louis-Strasse;;260.27;236.42;Meletta-Schichten;235.42;;0;;-;0;;;260.27;0;;;;0;;;;;;"{""coordinates"": [7.572442898784175, 47.57141133959216], ""type"": ""Point""}";2610070;1268976;;;
1698;Sondierbohrung;47.5714113548316,7.572429609114186;9236;BS;1;R;3852;;3852;0;1998;Saint-Louis-Strasse;;254;237;Meletta-Schichten;235.2;;0;;-;0;;;254.0;0;;;;0;;;;;;"{""coordinates"": [7.572429609114186, 47.5714113548316], ""type"": ""Point""}";2610069;1268976;;;
1701;Sondierbohrung;47.571409726677835,7.572280760311319;9253;BS;1;R;3869;;3869;0;1998;Saint-Louis-Strasse;;256;236.9;Meletta-Schichten;235.9;;0;;-;0;;;256.0;0;;;;0;;;;;;"{""coordinates"": [7.572280760311319, 47.571409726677835], ""type"": ""Point""}";2610057;1268976;;;
1707;Sondierbohrung;47.57116406277408,7.572399752740933;9255;BS;1;R;3871;;3871;0;1998;Voltastr. / Saint-Louis-Strasse;;255.92;237.12;Meletta-Schichten;236.06;;0;;-;0;;;255.92;0;;;;0;;;;;;"{""coordinates"": [7.572399752740933, 47.57116406277408], ""type"": ""Point""}";2610066;1268948;;;
1719;Sondierbohrung;47.57116174057636,7.572855581774746;9259;BS;1;R;3875;;3875;0;1998;Voltastr. / Saint-Louis-Strasse;;253.9;238.1;Meletta-Schichten;234;;0;;-;0;;;253.9;0;;;;0;;;;;;"{""coordinates"": [7.572855581774746, 47.57116174057636], ""type"": ""Point""}";2610101;1268948;;;
1725;Sondierbohrung;47.57129740943399,7.572190109593173;9261;BS;1;R;3877;;3877;0;1998;Voltastr. / Saint-Louis-Strasse;;256.1;237.1;Meletta-Schichten;233.94;;0;;-;0;;;256.1;0;;;;0;;;;;;"{""coordinates"": [7.572190109593173, 47.57129740943399], ""type"": ""Point""}";2610051;1268963;;;
1746;Bohrungen verrohrt (kassiert);47.56971816423243,7.5714406340088205;8022;BS;1;R;946;;946;0;1991;Im Wasenboden;;260.42;236.22;Meletta-Schichten;233.62;;0;203;kassiert;0;;;260.42;0;400;260.42;233.62;1;14.110000000000014;246.31;1991-06-21T00:00:00;dd.mm.yyyy;21.06.1991;"{""coordinates"": [7.571440634008821, 47.56971816423243], ""type"": ""Point""}";2609994;1268788;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_0946.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_0946.pdf;
1752;Bohrungen verrohrt (kassiert);47.573681333282295,7.575553191827378;5790;BS;1;S;1037;;1037;0;1973;Elsässerstr.;164;259.32;238.22;Meletta-Schichten;236.32;2010-01-01;0;203;kassiert;0;;;259.32;0;400;259.69;236.69;1;14.949999999999989;244.37;1973-07-10T00:00:00;dd.mm.yyyy;10.07.1973;"{""coordinates"": [7.575553191827378, 47.573681333282295], ""type"": ""Point""}";2610303;1269229;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_1037.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1037.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/foto_1037_2001_01.jpg
1764;Sondierbohrung;47.574430872263825,7.581252868519034;10159;BS;1;S;3910;;3910;0;2007;;;245;;;239.05;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.581252868519034, 47.574430872263825], ""type"": ""Point""}";2610732;1269313;;;
1767;Sondierbohrung;47.57436606275492,7.58129788299823;10160;BS;1;S;3911;;3911;0;2007;;;245;;;239.05;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.58129788299823, 47.57436606275492], ""type"": ""Point""}";2610735;1269306;;;
1776;Sondierbohrung;47.57449089226191,7.581447069824711;10157;BS;1;S;3918;;3918;0;2007;;;245;;;239.05;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.581447069824711, 47.57449089226191], ""type"": ""Point""}";2610746;1269320;;;
1779;Sondierbohrung;47.57441889427388,7.581486748705032;10158;BS;1;S;3919;;3919;0;2007;;;245;;;239.05;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.581486748705032, 47.57441889427388], ""type"": ""Point""}";2610749;1269312;;;
1785;Bohrungen verrohrt (ø < 200mm);47.573894555378075,7.576103825066096;11844;BS;1;S;4178;;4178;0;2011;Elsässerstrasse;;257.69;237.84;Meletta-Schichten;236.19;;0;101;messbar;0;;;0.0;0;114;257.46;236.66;1;;245.67;2011-06-13T00:00:00;dd.mm.yyyy;13.06.2011;"{""coordinates"": [7.576103825066096, 47.573894555378075], ""type"": ""Point""}";2610345;1269253;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_4178.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_4178.pdf;
1788;Bohrungen verrohrt (ø >= 200mm);47.57599714586707,7.581231931178168;15799;BS;1;S;5876;;5876;0;2018;Elsässerrheinweg;;246.5;;;236.5;;0;;-;0;;;0.0;0;400;249.5;236.5;0;;;;;;"{""coordinates"": [7.581231931178168, 47.57599714586707], ""type"": ""Point""}";2610730;1269487;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_5876.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_5876.pdf;
1797;Bohrungen verrohrt (ø >= 200mm);47.573782014035196,7.580116011060396;5966;BS;1;T;1143;;1143;0;;Hüningerstr.;116;246.76;;;;;0;101;messbar;0;;;246.76;0;1500;;;0;;;;;;"{""coordinates"": [7.580116011060396, 47.573782014035196], ""type"": ""Point""}";2610646;1269241;;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1143.pdf;
1809;Sondierbohrung;47.56465306588822,7.5724101655856435;9345;BS;1;T;1567;;1567;0;2002;Strassburgerallee;14+18;268;247.65;Oligozän;246.85;;0;;-;0;;;268.0;0;;;;0;;;;;;"{""coordinates"": [7.572410165585644, 47.56465306588822], ""type"": ""Point""}";2610068;1268225;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_1567.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1567.pdf;
1827;Bohrungen verrohrt (ø < 200mm);47.575995840919646,7.571203709736673;9766;BS;1;U;1966;;1966;0;2006;Schlachthofstr.;25;259.34;237.34;Meletta-Schichten;236.34;;0;;-;0;;;259.34;0;114;259.22;236.34;1;13.539999999999964;245.8;2006-05-03T00:00:00;dd.mm.yyyy;03.05.2006;"{""coordinates"": [7.571203709736673, 47.575995840919646], ""type"": ""Point""}";2609975;1269486;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_1966.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_1966.pdf;
1830;Bohrungen verrohrt (ø < 200mm);47.57183585920399,7.583061195819766;9109;BS;1;U;2829;;2829;0;1999;Rheinhafen St.Johann;;253.79;;;242.79;;0;101;messbar;0;;;253.79;0;51;253.79;243.79;1;8.639999999999986;245.15;1999-12-16T00:00:00;dd.mm.yyyy;16.12.1999;"{""coordinates"": [7.583061195819766, 47.57183585920399], ""type"": ""Point""}";2610868;1269025;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_2829.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_2829.pdf;
1836;Sondierbohrung;47.57604723125689,7.58109237783512;10202;BS;1;U;2927;;2927;0;2007;Hüningerstr.;;256.4;;;243.9;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.58109237783512, 47.57604723125689], ""type"": ""Point""}";2610719;1269493;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_2927.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_2927.pdf;
1842;Bohrungen verrohrt (kassiert);47.5746965809973,7.5812973038731695;11033;BS;1;U;2954;;2954;0;2006;;;255.99;238.29;Meletta-Schichten;237.09;2013-03-16;0;203;kassiert;0;;;255.99;0;114;255.9;236.99;0;;;;;;"{""coordinates"": [7.581297303873169, 47.5746965809973], ""type"": ""Point""}";2610735;1269342;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_2954.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_2954.pdf;
1845;Bohrungen verrohrt (ø < 200mm);47.575632092886686,7.574911329677664;10167;BS;1;U;2975;;2975;0;2007;Kohlenstr.;55;257.55;237.15;Meletta-Schichten;235.25;;1;101;messbar;0;;;257.67;0;110;257.35;235.55;1;12.160000000000025;245.51;2007-03-19T00:00:00;dd.mm.yyyy;19.03.2007;"{""coordinates"": [7.574911329677664, 47.575632092886686], ""type"": ""Point""}";2610255;1269446;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_2975.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_2975.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/_foto_internet_2975.jpg
1854;Bohrungen verrohrt (kassiert);47.57163420906122,7.5828526656751185;9363;BS;1;U;3770;;3770;0;2001;;;255.84;236.94;Meletta-Schichten;235.84;;0;203;kassiert;0;;;255.84;0;114;255.64;235.64;1;10.599999999999994;245.24;2001-09-04T00:00:00;dd.mm.yyyy;04.09.2001;"{""coordinates"": [7.582852665675119, 47.57163420906122], ""type"": ""Point""}";2610853;1269002;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3770.pdf;;
1866;Sondierbohrung;47.57437650171817,7.581439720020631;10133;BS;1;U;3880;;3880;0;2007;;;256;235.8;Meletta-Schichten;235.3;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.581439720020631, 47.57437650171817], ""type"": ""Point""}";2610746;1269307;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3880.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3880.pdf;
1887;Sondierbohrung;47.57430027737972,7.581258367597012;10577;BS;1;U;3887;;3887;0;2007;;;256;;;238;;0;;-;0;;;256.0;0;;;;0;;;;;;"{""coordinates"": [7.581258367597012, 47.57430027737972], ""type"": ""Point""}";2610732;1269298;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3887.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3887.pdf;
1893;Sondierbohrung;47.574289926743496,7.581705430087117;11035;BS;1;U;3889;;3889;0;2007;;;255.86;234.46;Meletta-Schichten;233.66;;0;;-;0;;;255.86;0;;255.69;233.69;0;;;;;;"{""coordinates"": [7.581705430087117, 47.574289926743496], ""type"": ""Point""}";2610766;1269297;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3889.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3889.pdf;
1896;Sondierbohrung;47.57440762361531,7.581142495611771;10163;BS;1;U;3914;;3914;0;2007;;;256;;;241;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.581142495611771, 47.57440762361531], ""type"": ""Point""}";2610724;1269310;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_3914.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_3914.pdf;
1905;Sondierbohrung;47.57399434381313,7.5829874236738;10863;BS;1;U;4021;;4021;0;2009;;;256;;;244.3;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.5829874236738, 47.57399434381313], ""type"": ""Point""}";2610862;1269265;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_4021.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_4021.pdf;
1911;Sondierbohrung;47.57494122419154,7.580916650160709;12628;BS;1;U;4563;;4563;0;2012;Novartis, WSJ-68 und Vorplatz;;256;;;241.8;;0;;-;0;;;0.0;0;;;;1;;244.7;2012-09-11T00:00:00;dd.mm.yyyy;11.09.2012;"{""coordinates"": [7.580916650160709, 47.57494122419154], ""type"": ""Point""}";2610706;1269370;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_4563.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_4563.pdf;
1914;Sondierbohrung;47.574824306820275,7.580916338706914;12629;BS;1;U;4564;;4564;0;2012;Novartis, WSJ-68 und Vorplatz;;256;;;243;;0;;-;0;;;0.0;0;;;;1;;244.7;2012-09-19T00:00:00;dd.mm.yyyy;19.09.2012;"{""coordinates"": [7.580916338706914, 47.574824306820275], ""type"": ""Point""}";2610706;1269357;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_4564.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_4564.pdf;
1929;Sondierbohrung;47.574563312702026,7.581061838957713;12634;BS;1;U;4569;;4569;0;2012;Novartis, WSJ-68 und Vorplatz;;256;;;244;;0;;-;0;;;0.0;0;;;;1;;244.59;2012-09-11T00:00:00;dd.mm.yyyy hh:nn;11.09.2012 00:00;"{""coordinates"": [7.581061838957713, 47.574563312702026], ""type"": ""Point""}";2610717;1269328;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_4569.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_4569.pdf;
1938;Bohrungen verrohrt (ø < 200mm);47.575915843885895,7.576594274756424;13302;BS;1;U;4832;;4832;0;2013;Kohlenstrasse;40;257.1;237.8;Meletta-Schichten;236.7;;0;;-;0;;;0.0;0;106;256.35;236.7;1;;246.08;2013-11-14T00:00:00;dd.mm.yyyy;14.11.2013;"{""coordinates"": [7.576594274756424, 47.575915843885895], ""type"": ""Point""}";2610381;1269477;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_4832.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_4832.pdf;
1941;Sondierbohrung;47.57464838490745,7.581509557675697;14119;BS;1;U;5233;;5233;0;2015;Fabrikstrasse;;251.87;236.92;Meletta-Schichten;236.27;;0;;-;0;;;0.0;0;;;;1;;244.52;2015-01-11T00:00:00;dd.mm.yyyy;11.01.2015;"{""coordinates"": [7.581509557675697, 47.57464838490745], ""type"": ""Point""}";2610751;1269337;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_5233.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_5233.pdf;
1950;Sondierbohrung;47.574586754141286,7.5810880837638495;14122;BS;1;U;5236;;5236;0;2015;Fabrikstrasse;;251.87;238.42;Meletta-Schichten;236.97;;0;;-;0;;;0.0;0;;;;1;;244.57;2015-01-09T00:00:00;dd.mm.yyyy;09.01.2015;"{""coordinates"": [7.581088083763849, 47.574586754141286], ""type"": ""Point""}";2610719;1269330;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_5236.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_5236.pdf;
1962;Sondierbohrung;47.57502846295577,7.580990246759702;14258;BS;1;U;5291;;5291;0;2015;Fabrikstrasse;2;252.61;238.41;Meletta-Schichten;237.01;;0;;-;0;;;0.0;0;;;;1;;245.41;2015-05-19T00:00:00;dd.mm.yyyy;19.05.2015;"{""coordinates"": [7.580990246759702, 47.57502846295577], ""type"": ""Point""}";2610712;1269379;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_5291.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_5291.pdf;
2010;Bohrungen verrohrt (kassiert);47.573535662677784,7.5755302251047985;10690;BS;1;U;810;;810;0;2008;Elsässerstr.;164;259.35;;;240.35;;0;203;kassiert;0;;;0.0;0;114;260;242.5;1;;246.42;2008-11-17T00:00:00;dd.mm.yyyy;17.11.2008;"{""coordinates"": [7.575530225104798, 47.573535662677784], ""type"": ""Point""}";2610301;1269213;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_0810.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_0810.pdf;
2025;Erdwärmebohrungen;47.549276843560996,7.578992651162308;17814;BS;3;H;6590;;6590;0;2021;Schweizergasse;12;279;;;99;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.578992651162308, 47.549276843560996], ""type"": ""Point""}";2610567;1266516;;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_6590.pdf;
2028;Erdwärmebohrungen;47.55013791738,7.572558629304751;17993;BS;3;H;6712;;6712;0;2021;Neubadstr.;37;278.8;256.8;Meletta-Schichten;68.8;;0;;-;0;;;0.0;0;;;;0;;;;;;"{""coordinates"": [7.572558629304751, 47.55013791738], ""type"": ""Point""}";2610082;1266611;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/profil_6712.pdf;https://map.geo.bs.ch/file_proxy/BK_Erdwaermebohrung/situation_6712.pdf;
